Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
28,1.0,0.0,0.0,487.0,8.0,89.0,1680.0,0.1,71.70800000000007,0.0,0.0,260.5757701396942,,,,,,,,,,,,,,,,,,,,,31.683845136522276,23.330954694702424,69.02612099872596,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,546.0,9.0,59.0,1739.0,0.1,48.70700000000001,0.0,0.0,266.17192578315735,,,,,,,,,,,,,,,,,,,,,17.86687740779221,16.340542732637957,47.74830309081881,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,631.0,10.0,85.0,1824.0,0.1,59.70899999999998,0.0,0.0,274.26658391952515,,,,,,,,,,,,,,,,,,,,,21.663589646093065,19.136892526969273,57.98350390438696,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,682.0,11.0,51.0,1875.0,0.1,35.807999999999986,0.0,0.0,279.25015020370483,,,,,,,,,,,,,,,,,,,,,12.259741303292092,11.852568955382324,35.253224389085894,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,807.0,12.0,125.0,2000.0,0.1,62.808,0.0,0.0,290.50549578666687,,,,,,,,,,,,,,,,,,,,,20.758675665147223,15.645966187525136,60.333772753591035,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,878.0,13.0,71.0,2071.0,0.1,57.50900000000001,0.0,0.0,297.117888212204,,,,,,,,,,,,,,,,,,,,,20.492130623668615,19.115780499706105,56.16633522984397,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,911.0,14.0,33.0,2104.0,0.1,17.00800000000002,0.0,0.0,300.53441047668457,,,,,,,,,,,,,,,,,,,,,4.621767856229752,5.741660994478334,16.889243258017203,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,938.0,15.0,27.0,2131.0,0.1,14.006999999999994,0.0,0.0,303.5918643474579,,,,,,,,,,,,,,,,,,,,,3.9226848823789386,4.8587294096024065,13.928931442128583,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,1011.0,16.0,73.0,2204.0,0.1,55.50699999999996,0.0,0.0,310.3544645309448,,,,,,,,,,,,,,,,,,,,,21.18391289073991,17.125437884397858,54.0686576055294,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,1044.0,17.0,33.0,2237.0,0.1,16.20900000000001,0.0,0.0,313.76505422592163,,,,,,,,,,,,,,,,,,,,,4.219762135104706,5.4532729715171255,16.101935618843616,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,0.0,1146.0,18.0,102.0,2339.0,0.1,33.72600000000005,0.0,0.0,323.0574600696564,,,,,,,,,,,,,,,,,,,,,12.76361809459016,8.028603554676414,32.48905657845216,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,1208.0,19.0,62.0,2401.0,0.1,54.90599999999999,0.0,0.0,328.92780232429504,,,,,,,,,,,,,,,,,,,,,21.8091262351587,17.813024310434386,53.66110271775295,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,1275.0,20.0,67.0,2468.0,0.1,42.40899999999999,0.0,0.0,335.44346022605896,,,,,,,,,,,,,,,,,,,,,14.640587586391828,13.344063627144624,41.51106124313678,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,56.0,1.0,56.0,2524.0,0.1,33.50699999999999,0.0,0.0,443.5637731552124,,,,,,,,,,,,,,,,,,,,,12.229246019417749,10.200173664073462,32.88790514529805,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,200.0,2.0,144.0,2668.0,0.1,93.907,0.0,0.0,456.8460683822632,,,,,,,,,,,,,,,,,,,,,38.64380598555137,25.931597625634915,88.51924190264398,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,254.0,3.0,54.0,2722.0,0.1,36.60899999999997,0.0,0.0,462.1189901828766,,,,,,,,,,,,,,,,,,,,,11.458063996387684,12.326640501676748,36.0623531882183,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,283.0,4.0,29.0,2751.0,0.1,13.406999999999996,0.0,0.0,465.2296390533447,,,,,,,,,,,,,,,,,,,,,3.5111111980636243,4.491837850529146,13.331828099627309,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,438.0,5.0,155.0,2906.0,0.1,101.408,0.0,0.0,479.0107672214508,,,,,,,,,,,,,,,,,,,,,42.5953046704751,25.679917249450874,94.99562402850937,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,0.0,486.0,6.0,48.0,2954.0,0.1,27.00800000000002,0.0,0.0,483.9713056087494,,,,,,,,,,,,,,,,,,,,,9.455257229773,8.46155184259936,26.607335717069322,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,549.0,7.0,63.0,3017.0,0.1,37.41199999999997,0.0,0.0,489.86005544662476,,,,,,,,,,,,,,,,,,,,,10.382138897679747,12.272021444673937,36.83155152093653,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,0.0,601.0,8.0,52.0,3069.0,0.1,30.709000000000028,0.0,0.0,494.8771185874939,,,,,,,,,,,,,,,,,,,,,8.716266470919024,10.147638126571461,30.316356540236143,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,631.0,9.0,30.0,3099.0,0.1,12.808999999999996,0.0,0.0,498.02606654167175,,,,,,,,,,,,,,,,,,,,,3.124313376175725,4.240791527323159,12.740739336648687,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,0.0,714.0,10.0,83.0,3182.0,0.1,67.30600000000001,0.0,0.0,505.7574565410614,,,,,,,,,,,,,,,,,,,,,28.982159721927744,19.99187724650475,65.0304766659352,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,756.0,11.0,42.0,3224.0,0.1,35.20599999999998,0.0,0.0,510.1477994918823,,,,,,,,,,,,,,,,,,,,,13.469815524638012,12.011900824956236,34.709652342998865,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
